Restaurant_Name,Online,Booking,Rating,Location,Cuisines,Price,Restaurant_Type
Ammi's Biryani,Yes,No,2.7,Kalyan Nagar,"Biryani, North Indian",500.0,Dine-out
The Bahubali,Yes,Yes,3.4,Marathahalli,"North Indian, Chinese",800.0,Dine-out
Chai Culture,Yes,No,3.6,Jayanagar,Beverages,200.0,Delivery
Venky's Xprs,No,No,3.7,Kalyan Nagar,"Fast Food, Raw Meats",350.0,Delivery
Sri Sai Bhavan,Yes,No,3.6,Brookefield,South Indian,300.0,Delivery
Benjarong,Yes,No,4.2,Ulsoor,"Thai, Asian",1800.0,Delivery
Paisa Vasool,Yes,No,3.3,Koramangala 7th Block,North Indian,400.0,Delivery
Squeez Juice Bars,No,No,3.3,Bellandur,"Beverages, Fast Food",200.0,Desserts
Tunday Kababi,Yes,No,3.8,Indiranagar,"Lucknowi, Mughlai",500.0,Delivery
The Paratha Company,Yes,No,4.2,Whitefield,North Indian,400.0,Delivery
Chilli Flakes,Yes,No,3.6,Banashankari,"Fast Food, Italian, Beverages",500.0,Delivery
Sagar Delicacy,Yes,No,3.9,Ulsoor,"North Indian, Chinese, Fast Food, Street Food",500.0,Dine-out
Tandoor Merchant,Yes,No,3.4,BTM,"North Indian, Chinese, Fast Food",500.0,Delivery
Tibbs Frankie,No,No,3.5,Koramangala 7th Block,"Street Food, Rolls",200.0,Dine-out
Brews N Bites,Yes,No,2.7,Bannerghatta Road,"Chinese, Fast Food, Cafe, Street Food, Finger Food",650.0,Dine-out
Kullukki,Yes,No,3.4,Koramangala 5th Block,"Juices, Beverages, Fast Food",400.0,Delivery
Wimpie,No,No,3.3,Sarjapur Road,"South Indian, North Indian, Continental, Chinese",600.0,Dine-out
Chaiwala,Yes,No,3.1,Koramangala 1st Block,Fast Food,100.0,Dine-out
Kotian Karavali Restaurant,No,No,3.5,Banashankari,"South Indian, Biryani",300.0,Dine-out
55 Wall Street,No,Yes,3.9,JP Nagar,"Finger Food, North Indian, Chinese",1300.0,Drinks & nightlife
Sri Krishna Bhavan Sweets,No,No,3.9,Sanjay Nagar,"Mithai, Street Food",350.0,Desserts
Brownie Heaven,Yes,No,4.3,Indiranagar,Desserts,300.0,Delivery
David's Kitchen,Yes,No,3.6,BTM,"North Indian, South Indian, Chinese",200.0,Dine-out
Mr Manchurian,Yes,No,3.6,Marathahalli,"Chinese, Momos",500.0,Delivery
Tempura Restaurant,No,No,3.9,Brigade Road,"Japanese, Chinese, Tibetan, Momos",500.0,Dine-out
Grillopia,Yes,No,3.9,BTM,"Italian, American, Fast Food, Wraps, Rolls, Salad",1000.0,Delivery
Rashtrakutas,Yes,Yes,4.0,HSR,"South Indian, Biryani, North Indian",800.0,Dine-out
TRIGEREATO,Yes,Yes,4.4,Koramangala 8th Block,"Cafe, Continental, Beverages",700.0,Desserts
Xpress Chai,Yes,No,3.3,BTM,Tea,150.0,Delivery
Panda Boy,Yes,No,3.9,Kammanahalli,Chinese,550.0,Delivery
Navami,Yes,No,3.5,Jayanagar,"Andhra, North Indian, Chinese, Mangalorean, Seafood, Biryani",750.0,Dine-out
Fresh Bites,Yes,No,3.3,Koramangala 1st Block,"Italian, Fast Food",400.0,Delivery
Leela's Kitchen,No,No,3.8,Banaswadi,"Kerala, South Indian, North Indian, Chinese",400.0,Delivery
The Restaurant,No,Yes,3.7,Marathahalli,"Continental, Burger, South Indian, Sandwich, Italian, Pizza, North Indian, Chinese",1200.0,Dine-out
Casa Piccosa,Yes,Yes,4.1,JP Nagar,"South American, Continental, Italian",1100.0,Dine-out
Crepe Nation,Yes,No,3.8,South Bangalore,"Fast Food, Desserts",300.0,Delivery
Eat N Meet,Yes,No,2.7,Electronic City,"Kerala, South Indian, North Indian, Chinese, Beverages",500.0,Dine-out
Homemade Food,Yes,No,3.8,Indiranagar,South Indian,200.0,Delivery
Tadka Singh,No,No,3.4,Indiranagar,North Indian,700.0,Delivery
154 Breakfast Club,Yes,Yes,4.0,Koramangala 3rd Block,"Cafe, Continental",900.0,Dine-out
Iyengar Bakery,Yes,No,3.6,Jayanagar,"Bakery, Fast Food, Desserts, Beverages",200.0,Desserts
Kanti Sweets,Yes,No,4.0,JP Nagar,"Mithai, Street Food",400.0,Desserts
Hammered,Yes,Yes,4.7,Cunningham Road,"North Indian, Thai, Japanese, Continental, Cafe",1300.0,Delivery
Yeti,No,No,3.7,BTM,"Fast Food, Desserts, Ice Cream",300.0,Dine-out
Nando's,Yes,No,4.3,Indiranagar,"Portuguese, Wraps, Burger, Salad",1200.0,Delivery
INDULGE by InnerChef,Yes,No,3.5,Koramangala 7th Block,"Desserts, Bakery",400.0,Desserts
Swad-Deshi Restaurant,Yes,No,3.5,Marathahalli,"South Indian, Chinese",300.0,Delivery
Mishmash,Yes,No,3.9,HSR,"Mediterranean, Continental, North Indian, Mughlai, Salad",1400.0,Delivery
Corner House Ice Cream,Yes,No,4.6,Koramangala 5th Block,"Ice Cream, Desserts",400.0,Delivery
Pizza Hut,Yes,No,3.8,Jayanagar,"Pizza, Fast Food",750.0,Dine-out
Biriyani Mane,Yes,No,3.7,Jayanagar,"Biryani, Chinese, North Indian",700.0,Dine-out
Delhi Highway,Yes,Yes,4.5,Indiranagar,North Indian,1200.0,Dine-out
WOW! Momo,Yes,No,3.7,Brigade Road,"Chinese, Momos",400.0,Delivery
Little Italy,Yes,Yes,4.3,Sarjapur Road,"Italian, Pizza",1500.0,Buffet
Hotel Panchami Grand,No,No,3.5,New BEL Road,"Chinese, North Indian, South Indian",550.0,Dine-out
Halli Oota,No,No,3.3,St. Marks Road,"South Indian, Biryani",450.0,Delivery
Biryani Paradise,Yes,No,3.8,Whitefield,"Andhra, Biryani",700.0,Delivery
Downtown,No,No,3.7,Residency Road,"North Indian, Continental",1000.0,Dine-out
Davis Bar And Restaurant,No,No,3.0,Kammanahalli,"North Indian, Finger Food, Chinese",700.0,Dine-out
Lot Like Crepes,Yes,No,4.6,Koramangala 7th Block,"Cafe, Desserts, Continental",550.0,Delivery
Specialist Restaurant,No,No,3.1,Kalyan Nagar,"North Indian, South Indian, Chinese",400.0,Dine-out
Parisar Veg Restaurant,Yes,No,3.6,Bannerghatta Road,"Chinese, North Indian, South Indian",400.0,Delivery
Cafe Mangii,Yes,Yes,4.3,Lavelle Road,"Italian, Continental, Pizza",1600.0,Delivery
Savoury Restaurant,Yes,No,3.9,BTM,"Arabian, North Indian, Chinese, Fast Food",800.0,Dine-out
Red Bawarchi,Yes,No,3.0,Koramangala 7th Block,"Biryani, Chinese, North Indian",600.0,Delivery
Shreyas Upahar & Burger Point,Yes,No,3.0,Basavanagudi,"South Indian, Burger",200.0,Delivery
Donne Biriyani House,Yes,No,3.2,Sarjapur Road,Biryani,300.0,Dine-out
Hoppipola,Yes,Yes,4.4,Kalyan Nagar,"Continental, Fast Food, European",1200.0,Dine-out
The Jungle Terrace,Yes,No,3.5,Brigade Road,"Continental, Mexican, Lebanese",600.0,Delivery
Protein Grillhouse,Yes,Yes,4.2,Jayanagar,"Healthy Food, Continental, Juices, Salad, Burger, Beverages, Desserts",800.0,Delivery
Sri Punjabi Dhaba,Yes,No,3.3,BTM,North Indian,400.0,Delivery
Udupi Upachar,Yes,No,3.3,JP Nagar,"South Indian, North Indian, Chinese, Street Food",300.0,Delivery
Hammered,Yes,Yes,4.7,Cunningham Road,"North Indian, Thai, Japanese, Continental, Cafe",1300.0,Desserts
Cafe D'hide,Yes,Yes,4.2,Koramangala 5th Block,"Cafe, American, Continental, Italian",600.0,Cafes
Sagar Grand,Yes,No,3.8,Bannerghatta Road,"South Indian, North Indian, Chinese",300.0,Delivery
Kwality Cakes N Bakes,Yes,No,3.7,HSR,"Bakery, Desserts",400.0,Delivery
Hotel Elite,Yes,No,3.7,Yeshwantpur,"North Indian, Chinese, South Indian, Juices",550.0,Delivery
Hungry Birds,Yes,No,3.2,Koramangala 7th Block,Chinese,300.0,Delivery
Stories,Yes,Yes,4.6,Rajajinagar,"Continental, North Indian, Chinese",1100.0,Pubs and bars
Sichuan,Yes,No,4.0,HSR,"Chinese, Asian, Seafood",800.0,Delivery
Narmadha's Hyderabad Biriyani,No,No,3.9,BTM,"Biryani, North Indian, Andhra",550.0,Dine-out
Laddoos,Yes,No,2.9,Jeevan Bhima Nagar,"North Indian, Street Food, Mithai",250.0,Delivery
Ruchi's Corner,Yes,No,2.7,Banashankari,Fast Food,200.0,Delivery
Drunkling - Sizzlers and Pub,Yes,Yes,4.4,Koramangala 5th Block,"Chinese, Continental, North Indian, Burger, Pizza, Seafood",1000.0,Drinks & nightlife
Lluvia Bakery,Yes,No,3.4,Sarjapur Road,Bakery,350.0,Delivery
Hatch,Yes,Yes,4.1,Malleshwaram,"North Indian, Mangalorean, Seafood",1200.0,Dine-out
Starbucks,No,No,4.1,Church Street,"Cafe, Desserts",700.0,Cafes
Seven Star,Yes,No,3.4,Banashankari,"North Indian, Chinese",250.0,Delivery
Royal Biryani Kitchen,Yes,No,3.9,BTM,"Biryani, North Indian, Kebab",600.0,Delivery
Cookie Man,Yes,No,3.2,Whitefield,Bakery,150.0,Desserts
Durga Bikaner Sweets,No,No,3.7,Jayanagar,"Street Food, Mithai",100.0,Desserts
Hotel Zam Zam,Yes,No,3.1,Hennur,"North Indian, Chinese",300.0,Dine-out
Truffles,No,No,4.5,St. Marks Road,"Cafe, American, Burger, Steak",900.0,Delivery
Dakshin Grand,Yes,No,3.0,Banashankari,"South Indian, North Indian, Chinese, Street Food",300.0,Delivery
Lassi Magic,Yes,No,3.5,BTM,Beverages,150.0,Delivery
Kakal Kai Ruchi,No,No,3.9,JP Nagar,"South Indian, North Indian, Chinese",450.0,Delivery
We Foodie,Yes,No,2.6,Whitefield,"Fast Food, North Indian",300.0,Dine-out
Gold Bean,No,No,2.5,HSR,Cafe,550.0,Dine-out
House Stark Cafe,Yes,No,3.9,HSR,"Cafe, Desserts, Fast Food, Burger",300.0,Delivery
Rustic Stove,Yes,No,3.8,Jayanagar,"North Indian, South Indian, Biryani, Beverages",900.0,Delivery
Kulfi & More,No,No,3.5,Koramangala 1st Block,"Ice Cream, Beverages",200.0,Desserts
Amaravati Grand,No,No,3.4,BTM,"Chinese, Andhra, Mangalorean",550.0,Dine-out
Daily Bite,No,No,3.5,Richmond Road,"Desserts, Fast Food",250.0,Desserts
Domino's Pizza,Yes,No,3.8,HSR,"Pizza, Fast Food",400.0,Dine-out
Mangalore pearl - Seafood Restaurant,Yes,No,4.3,Frazer Town,"Mangalorean, Seafood",700.0,Delivery
Kriti Dugar,No,No,3.4,Marathahalli,Desserts,200.0,Desserts
ShakesBierre,No,Yes,4.4,Brigade Road,"Asian, Continental, European, North Indian",1500.0,Drinks & nightlife
Beijing Bites,Yes,No,3.7,JP Nagar,"Chinese, Thai, Momos",400.0,Delivery
Trippy Paradise,Yes,No,2.6,BTM,Cafe,900.0,Delivery
Chaitanya Grand,No,No,3.6,Bannerghatta Road,"South Indian, North Indian, Chinese",300.0,Dine-out
Pizza Hut,Yes,No,3.8,Shanti Nagar,"Pizza, Fast Food",750.0,Delivery
Oye Amritsar,Yes,Yes,4.1,Church Street,North Indian,600.0,Delivery
REFUEL,Yes,No,3.7,Marathahalli,"Chinese, North Indian, Fast Food",300.0,Delivery
Eat Eroo - Bombay Vada Pav,Yes,No,4.0,Marathahalli,Street Food,150.0,Delivery
The Milkshake Theory,Yes,No,3.2,Lavelle Road,"Beverages, Fast Food",400.0,Delivery
Midnight Pizza Slurpp,No,No,3.7,Koramangala 4th Block,"Italian, Pizza",700.0,Delivery
Lot Like Crepes,Yes,No,4.6,Koramangala 7th Block,"Cafe, Desserts, Continental",550.0,Cafes
Silsila,No,No,2.7,Koramangala 4th Block,North Indian,800.0,Dine-out
Bulls N Bears - Bar Trade Xchange,No,Yes,3.8,Koramangala 5th Block,"Finger Food, North Indian, Continental, Pizza",1000.0,Dine-out
Spice Garden by Dum Mast Biryani,No,No,3.2,Bellandur,"North Indian, South Indian, Biryani, Continental",550.0,Dine-out
Desipun,Yes,Yes,4.2,Koramangala 5th Block,North Indian,700.0,Dine-out
Al Daaz,Yes,No,4.2,HSR,"North Indian, Continental, BBQ",550.0,Delivery
Ice Bowl,No,No,3.4,Bannerghatta Road,"Desserts, Beverages",250.0,Desserts
Armaani Caffe,Yes,No,3.5,BTM,Fast Food,250.0,Dine-out
Mahjong Room - WelcomHotel Bengaluru,No,Yes,4.4,Richmond Road,Chinese,1200.0,Dine-out
The Pipe Rack,No,No,3.9,Kalyan Nagar,Cafe,700.0,Delivery
Dev's Gugababa,Yes,No,3.5,BTM,"Bengali, North Indian, Chinese",500.0,Dine-out
Opus Food Stories,No,Yes,4.6,Sarjapur Road,"Goan, Asian, North Indian, European, Continental",1500.0,Buffet
La Brasserie - Le Meridien,No,Yes,4.1,Sankey Road,"North Indian, Continental, Japanese, Chinese, South Indian",4100.0,Dine-out
Hunger Twist,Yes,No,3.8,Kalyan Nagar,"Fast Food, Burger",300.0,Delivery
Tella Tales,Yes,No,4.2,Koramangala 5th Block,"Cafe, Desserts, Beverages",700.0,Cafes
Sri Banasankri Donne Biriyani,No,No,3.4,Kalyan Nagar,Biryani,400.0,Dine-out
The Grillo,Yes,Yes,2.8,Jayanagar,"South Indian, Arabian, Chinese, North Indian, Seafood, Mangalorean",500.0,Delivery
1Q1,No,Yes,4.3,Infantry Road,"Asian, Japanese, Thai, Malaysian, Vietnamese, Korean, Chinese",2500.0,Pubs and bars
G Resto Cafe,No,No,3.3,Koramangala 4th Block,"Cafe, Fast Food, Beverages",400.0,Dine-out
Aubree,Yes,No,4.3,Sadashiv Nagar,"Cafe, Bakery",400.0,Desserts
Juicy,Yes,No,3.8,Old Airport Road,"Beverages, Juices, Fast Food",200.0,Delivery
New Ambur Dum Biryani,No,No,3.2,Koramangala 1st Block,"Biryani, Kebab",200.0,Dine-out
Global Flavors,Yes,Yes,3.5,Banaswadi,"North Indian, Fast Food, Beverages",1000.0,Delivery
Norsha Caffe,Yes,No,3.3,Commercial Street,Cafe,400.0,Delivery
Desserts Tree,Yes,No,3.8,Koramangala 1st Block,"Mithai, Desserts",100.0,Delivery
Chung Wah Express,Yes,No,2.8,Indiranagar,"Chinese, Thai, Momos, Vietnamese",600.0,Delivery
Aaha,Yes,No,3.6,Brookefield,"North Indian, Chinese",300.0,Delivery
Toast & Tonic,No,Yes,4.6,Richmond Road,"European, Asian",1500.0,Dine-out
Thai Chy,Yes,Yes,4.3,Indiranagar,"Thai, Asian, Indonesian",1200.0,Delivery
Vitamin Palace,No,No,4.1,Koramangala 7th Block,"Cafe, Beverages, Healthy Food, Juices",650.0,Cafes
New Kabab Plaza,Yes,No,3.7,BTM,"North Indian, Chinese",500.0,Delivery
Chin Lung Resto Bar,No,No,3.9,Residency Road,"North Indian, Chinese, Fast Food",1000.0,Pubs and bars
Melting Pot at Woodrose,Yes,No,3.7,JP Nagar,North Indian,800.0,Delivery
Mr. Singh Da Dhaba,Yes,No,3.6,Kumaraswamy Layout,"North Indian, Chinese",300.0,Delivery
Polar Bear,Yes,No,4.5,"Varthur Main Road, Whitefield","Desserts, Ice Cream",300.0,Desserts
Little Kitchen,Yes,No,3.6,Koramangala 1st Block,"Salad, Biryani, Chinese, North Indian, Kerala, Desserts, Seafood, South Indian",400.0,Dine-out
Late Night,No,No,3.0,Marathahalli,"North Indian, Chinese",500.0,Delivery
Cafe On The Way,Yes,No,4.0,Koramangala 3rd Block,Cafe,500.0,Desserts
The Shawarma Shop,Yes,No,4.1,BTM,Arabian,250.0,Delivery
Moriz Restaurant,Yes,No,2.7,Bellandur,"Arabian, North Indian, Seafood, Chinese, Biryani",800.0,Dine-out
Sai Abhiruchi,Yes,No,3.8,BTM,"Andhra, North Indian, Biryani",800.0,Delivery
Al Swaad Take Away,Yes,No,3.1,Richmond Road,"North Indian, South Indian, Arabian",350.0,Delivery
Four Seasons Fast Food Center,Yes,No,3.7,Malleshwaram,"North Indian, Chinese, Biryani",400.0,Delivery
Nando's,Yes,No,4.1,Malleshwaram,"Portuguese, Wraps, Burger, Salad",1200.0,Delivery
Kaapi Kendra,Yes,No,3.7,Jayanagar,South Indian,100.0,Delivery
Habib's Biryani,No,No,3.6,Indiranagar,Biryani,400.0,Delivery
Jalpaan,Yes,Yes,4.0,Jayanagar,"North Indian, Continental",900.0,Dine-out
Healthie,Yes,No,3.9,Indiranagar,"Healthy Food, Beverages",600.0,Delivery
The Pipe Rack,No,No,3.9,Kalyan Nagar,Cafe,700.0,Dine-out
Swad Punjab Da,Yes,No,4.0,BTM,North Indian,150.0,Delivery
J's Cafe,No,No,3.9,Indiranagar,"Cafe, Continental",700.0,Delivery
BANGALORE BOX,Yes,Yes,4.2,BTM,"Asian, Continental, Finger Food",1500.0,Delivery
Tawa,Yes,No,3.4,Koramangala 1st Block,North Indian,200.0,Dine-out
Chianti,No,Yes,4.6,"ITPL Main Road, Whitefield",Italian,1500.0,Dine-out
The Chevron Brigade,No,No,3.3,Brigade Road,"Fast Food, Biryani, Chinese",1200.0,Dine-out
Yumme Veg,Yes,No,3.6,Bannerghatta Road,"Fast Food, Street Food",200.0,Delivery
Speedy Chow,Yes,No,3.5,Marathahalli,Chinese,600.0,Dine-out
Dhuaan,No,No,3.8,Koramangala 5th Block,"Cafe, Continental",800.0,Dine-out
Off D' Hook,No,Yes,3.7,Marathahalli,"Continental, Biryani, Pizza, North Indian, Chinese, Momos, Andhra, Kebab",800.0,Dine-out
Namma Madurai,Yes,No,3.6,"Varthur Main Road, Whitefield",South Indian,200.0,Dine-out
Straight From The Heart,No,No,3.4,Koramangala 6th Block,"Bakery, Desserts",300.0,Desserts
Cafe Hops,No,No,3.7,JP Nagar,"Desserts, Bakery",300.0,Delivery
Hotel Little Imperial,Yes,No,3.7,Kalyan Nagar,"North Indian, Chinese, South Indian",500.0,Dine-out
Sahana's (Nati Style),Yes,No,3.7,Wilson Garden,North Indian,350.0,Delivery
Ovenstory Pizza,Yes,No,4.0,Old Airport Road,Pizza,800.0,Delivery
Midnight Restro,Yes,No,3.4,BTM,"North Indian, Fast Food",500.0,Delivery
Biryani Club,No,No,2.9,Jeevan Bhima Nagar,"South Indian, Biryani",400.0,Dine-out
Baskin Robbins,Yes,No,3.5,Church Street,"Ice Cream, Desserts",250.0,Desserts
Woodfire Biryani,Yes,No,3.4,Whitefield,"North Indian, South Indian, Biryani",250.0,Dine-out
Cafe Palmyra,No,Yes,4.2,Whitefield,"Chinese, North Indian, Continental, Cafe",2000.0,Cafes
Sangria Wine Lounge,No,No,4.0,New BEL Road,"Continental, Chinese",1000.0,Dine-out
The Fresh Wok,No,No,3.3,BTM,Asian,600.0,Delivery
29 Degrees North,Yes,No,3.9,Banaswadi,"North Indian, Fast Food, Street Food",250.0,Delivery
The Konkan - Seafood Restaurant,Yes,Yes,4.4,St. Marks Road,"Seafood, Konkan, Mangalorean",850.0,Dine-out
Northern Bites,Yes,No,3.2,Bannerghatta Road,"North Indian, Chinese",400.0,Delivery
Curry with a 'K' - St. Mark's Hotel,No,No,3.9,St. Marks Road,"North Indian, Mughlai, Hyderabadi",1400.0,Buffet
Savoury Express,Yes,No,3.6,Jeevan Bhima Nagar,Arabian,800.0,Delivery
Cafe Nibras,No,No,3.4,Banaswadi,"Cafe, Continental",400.0,Delivery
The Denny's,No,No,3.7,Jayanagar,"North Indian, Chinese",900.0,Dine-out
Sri Punjabi Dhaba,Yes,No,3.3,BTM,North Indian,400.0,Delivery
Shree Sagar,No,No,2.8,Jayanagar,"North Indian, South Indian, Chinese",500.0,Dine-out
Kamat's Palate Korner,No,No,4.1,Richmond Road,"North Indian, Chinese",600.0,Delivery
Meeraa's Beegara Oota,Yes,No,3.8,HSR,"South Indian, Biryani, Chinese",550.0,Dine-out
Basmati Bar & Restaurant,Yes,Yes,3.8,Marathahalli,"Biryani, Andhra, North Indian, Chinese",800.0,Dine-out
New Gongura Grand,Yes,No,3.9,HSR,"Andhra, Biryani, North Indian, Chinese",550.0,Delivery
Food And You,No,No,3.8,Koramangala 5th Block,"North Indian, Gujarati",300.0,Delivery
New Taj,Yes,No,3.2,Ulsoor,"North Indian, Chinese",300.0,Dine-out
Shater Grill House,No,No,3.5,BTM,"North Indian, Arabian, Chinese",700.0,Dine-out
Chutney Chang,Yes,Yes,4.2,Church Street,"North Indian, Chinese, BBQ",1500.0,Buffet
Taste of Nepal,Yes,No,3.5,Koramangala 8th Block,Chinese,300.0,Dine-out
Cookie Man,Yes,No,3.0,Whitefield,Bakery,150.0,Delivery
Goli Vada Pav No. 1,Yes,No,3.7,Basavanagudi,Street Food,200.0,Delivery
Chung's Chinese Corner,Yes,No,3.9,Jayanagar,Chinese,700.0,Delivery
Luscious - St. Mark's Hotel,No,No,3.7,St. Marks Road,"North Indian, Continental",1200.0,Drinks & nightlife
Laziz Pizza,Yes,No,3.8,Koramangala 7th Block,"Fast Food, Burger, Pizza",400.0,Dine-out
Khan Saheb Grills and Rolls,Yes,No,4.0,Indiranagar,"Fast Food, Rolls",400.0,Delivery
Sizzling China,Yes,No,2.9,Malleshwaram,Chinese,300.0,Dine-out
The Blackboard Bakery,No,Yes,3.8,Lavelle Road,"Cafe, Bakery, Continental",1000.0,Dine-out
V.S. Garden Restaurant,No,No,3.5,Ejipura,"North Indian, Chinese",800.0,Delivery
Mandarin Box,No,No,3.9,Church Street,Chinese,500.0,Delivery
Domino's Pizza,Yes,No,3.0,Koramangala 4th Block,"Pizza, Fast Food",400.0,Dine-out
Rajveena Kitchen,Yes,No,3.7,BTM,"North Indian, Fast Food, Biryani, Chinese",500.0,Dine-out
Hiyar Majhe Kolkata,Yes,No,4.0,BTM,"Bengali, North Indian",400.0,Dine-out
North Se South Veg & Non-Veg Restaurants,Yes,No,3.6,Banaswadi,"South Indian, North Indian, Chinese",250.0,Delivery
Rasoi,Yes,No,3.3,Banashankari,"North Indian, Chinese",300.0,Dine-out
Rock View Family Restaurant,Yes,No,3.3,HSR,"North Indian, Chinese",700.0,Dine-out
Bangalore Vibes,Yes,No,3.2,Hennur,"North Indian, Chinese",300.0,Dine-out
Refills Eatery And Beverages,Yes,No,3.8,BTM,"North Indian, South Indian, Chinese",400.0,Delivery
Agent Jack's Bar,No,Yes,4.0,Kalyan Nagar,"Continental, North Indian, Italian",1300.0,Drinks & nightlife
Green Onion,No,No,4.3,Residency Road,Chinese,550.0,Delivery
Deccan Kitchen,Yes,No,3.7,Marathahalli,"South Indian, North Indian",700.0,Delivery
Wazir's,Yes,No,3.3,Shanti Nagar,"North Indian, Chinese",500.0,Dine-out
Zanzibar - Davanam Sarovar Portico Suites,No,No,3.5,BTM,Finger Food,1200.0,Dine-out
North Indies,Yes,No,3.8,Kaggadasapura,North Indian,450.0,Delivery
RotiCurry,Yes,No,3.1,HSR,"Street Food, North Indian",300.0,Dine-out
Indian Coffee House & Restaurant,No,No,4.2,Koramangala 5th Block,"South Indian, North Indian, Chinese",650.0,Delivery
Swadisht Inn,No,No,3.5,Rajajinagar,"Andhra, South Indian, Biryani, North Indian, Mangalorean",700.0,Delivery
Burger King,Yes,No,3.8,Bannerghatta Road,"Burger, Fast Food, Beverages",600.0,Dine-out
Frozenheit?,Yes,No,4.0,Rajajinagar,Ice Cream,500.0,Delivery
Paisa Vasool,Yes,No,3.3,Domlur,North Indian,400.0,Dine-out
Mother's Rasoi Family Restaurant,Yes,No,3.4,Bannerghatta Road,North Indian,200.0,Delivery
Dande's Hyderabad Biryani,Yes,No,3.8,Bannerghatta Road,"Biryani, Andhra, North Indian",700.0,Dine-out
The Marash,Yes,No,4.3,Koramangala 5th Block,"Turkish, Desserts",250.0,Delivery
Canton,Yes,No,3.6,Jayanagar,"Chinese, Seafood, Biryani",800.0,Delivery
Gundappa Donne Biryani Mane,Yes,No,3.4,Nagawara,Biryani,300.0,Delivery
Dream a Dozen,Yes,No,4.3,JP Nagar,"Bakery, Desserts",300.0,Delivery
MK Dabbawala,Yes,No,3.1,Koramangala 4th Block,North Indian,400.0,Delivery
Amma's Pastries,No,No,3.9,HBR Layout,Bakery,400.0,Desserts
Blueberry Restaurant,Yes,No,3.5,Bellandur,"North Indian, Biryani, South Indian",400.0,Dine-out
Maraheb Restaurant,Yes,No,4.2,Kalyan Nagar,Arabian,1000.0,Dine-out
Paratha Plaza,Yes,No,3.7,Indiranagar,North Indian,200.0,Delivery
Chugg,No,Yes,3.9,Church Street,"Finger Food, Continental, Asian, North Indian",1500.0,Pubs and bars
Desi Inn,Yes,No,3.5,Shanti Nagar,North Indian,300.0,Delivery
Village Donne Biryani,Yes,No,3.3,Koramangala 5th Block,Biryani,300.0,Delivery
Empire Restaurant,Yes,No,4.1,Koramangala 5th Block,"North Indian, Mughlai, South Indian, Chinese",750.0,Buffet
Carlos Cake Cafe,Yes,No,3.3,Marathahalli,"Bakery, Desserts",300.0,Desserts
The Milkshake Theory,Yes,No,4.0,Koramangala 5th Block,"Beverages, Fast Food",400.0,Delivery
Zero Mile Punjab,Yes,Yes,4.1,HSR,"North Indian, Mughlai",800.0,Delivery
Karavali Kolimane,Yes,No,3.7,Wilson Garden,"Mangalorean, Chinese, North Indian",350.0,Delivery
New Gongura Grand,Yes,No,3.9,HSR,"Andhra, Biryani, North Indian, Chinese",550.0,Delivery
Roll Junction,No,No,3.1,Whitefield,"Fast Food, Rolls",150.0,Dine-out
Mojo Pizza - 2X Toppings,Yes,No,4.3,BTM,Pizza,600.0,Delivery
Moolehatti Donne Biryani Mane,Yes,No,3.6,HSR,"Biryani, Chinese, North Indian, Kebab",400.0,Delivery
Andhra Mess,Yes,No,3.3,Nagawara,"Biryani, Kebab",300.0,Delivery
Rolls & Bowls,Yes,No,4.4,Brookefield,"Rolls, Chinese",250.0,Delivery
Umami & Beyond,Yes,No,3.7,Indiranagar,"Continental, Healthy Food, Beverages",400.0,Delivery
White Plate,No,Yes,4.2,MG Road,"Thai, Continental, North Indian",1500.0,Pubs and bars
Bathinda Tandoor,Yes,No,3.8,BTM,North Indian,300.0,Delivery
Donne Biriyani House,Yes,No,3.3,JP Nagar,"Biryani, Andhra",350.0,Dine-out
Chandus Delux,Yes,No,3.9,Malleshwaram,"South Indian, North Indian, Seafood, Chinese",600.0,Dine-out
Coffee Tea & More,Yes,No,4.0,Koramangala 5th Block,"Beverages, Sandwich",150.0,Delivery
Inchara Restaurant,Yes,No,3.3,Basavanagudi,"North Indian, Chinese",300.0,Dine-out
Sardarji Ka Dhaba,Yes,No,4.0,Hosur Road,North Indian,250.0,Dine-out
Biryani Nights,Yes,No,3.5,Bannerghatta Road,"South Indian, North Indian, Chinese",400.0,Dine-out
Ambur Biryani Hotel,No,No,3.2,Koramangala 1st Block,Biryani,200.0,Dine-out
Sk Grand Hotel,No,No,3.2,Jayanagar,South Indian,400.0,Delivery
Mani's Dum Biryani,Yes,No,4.0,Ulsoor,"Biryani, Andhra",750.0,Dine-out
Haji Ali Juice Centre,No,No,3.8,MG Road,"Beverages, Cafe, Juices, Fast Food",350.0,Delivery
Container Coffee,Yes,No,3.3,Ulsoor,South Indian,200.0,Delivery
Me And My Cake,No,No,3.2,Bommanahalli,"Bakery, Desserts",500.0,Delivery
My Little China,Yes,No,3.7,Hennur,"Chinese, North Indian",300.0,Dine-out
Savoury Restaurant,Yes,No,4.1,Frazer Town,"Arabian, North Indian, Chinese, Beverages",800.0,Dine-out
Pop'z Kitchen,No,No,3.7,Lavelle Road,Bakery,250.0,Desserts
Indian Spice Food,Yes,No,3.7,Ulsoor,"North Indian, Chinese",300.0,Delivery
A2B - Adyar Ananda Bhavan,Yes,No,4.2,BTM,"South Indian, North Indian, Street Food",200.0,Delivery
